name,hex,r,g,b
Pastel Orange,#ffb347,255,179,71
Pastel Pink,#dea5a4,222,165,164
Pastel Purple,#b39eb5,179,158,181
Pastel Red,#ff6961,255,105,97
Pastel Violet,#cb99c9,203,153,201
Pastel Yellow,#fdfd96,253,253,150
Patriarch,#800080,128,0,128
Payne'S Grey,#536878,83,104,120
Peach,#ffe5b4,255,229,180
Peach (Crayola),#ffcba4,255,203,164
Peach-Orange,#ffcc99,255,204,153
Peach Puff,#ffdab9,255,218,185
Peach-Yellow,#fadfad,250,223,173
Pear,#d1e231,209,226,49
Pearl,#eae0c8,234,224,200
Pearl Aqua,#88d8c0,136,216,192
Pearly Purple,#b768a2,183,104,162
Peridot,#e6e200,230,226,0
Periwinkle,#ccccff,204,204,255
Permanent Geranium Lake,#e12c2c,225,44,44
Persian Blue,#1c39bb,28,57,187
Persian Green,#00a693,0,166,147
Persian Indigo,#32127a,50,18,122
Persian Orange,#d99058,217,144,88
Persian Pink,#f77fbe,247,127,190
Persian Plum,#701c1c,112,28,28
Persian Red,#cc3333,204,51,51
Persian Rose,#fe28a2,254,40,162
Persimmon,#ec5800,236,88,0
Peru,#cd853f,205,133,63
Phlox,#df00ff,223,0,255
Phthalo Blue,#000f89,0,15,137
Phthalo Green,#123524,18,53,36
Picton Blue,#45b1e8,69,177,232
Pictorial Carmine,#c30b4e,195,11,78
Piggy Pink,#fddde6,253,221,230
Pine Green,#01796f,1,121,111
Pineapple,#563c0d,86,60,13
Pink,#ffc0cb,255,192,203
Pink (Pantone),#d74894,215,72,148
Pink Diamond (Ace Hardware Color),#f6d6de,246,214,222
Pink Diamond (Independent Retailers Colors),#f0d3dc,240,211,220
Pink Flamingo,#fc74fd,252,116,253
Pink Lace,#ffddf4,255,221,244
Pink Lavender,#d8b2d1,216,178,209
Pink-Orange,#ff9966,255,153,102
Pink Pearl,#e7accf,231,172,207
Pink Raspberry,#980036,152,0,54
Pink Sherbet,#f78fa7,247,143,167
Pistachio,#93c572,147,197,114
Platinum,#e5e4e2,229,228,226
Plum (Traditional),#8e4585,142,69,133
Plum (Web),#dda0dd,221,160,221
Pomp And Power,#86608e,134,96,142
Popstar,#be4f62,190,79,98
Portland Orange,#ff5a36,255,90,54
Powder Blue,#b0e0e6,176,224,230
Princeton Orange,#ff8f00,255,143,0
Prune,#701c1c,112,28,28
Prussian Blue,#003153,0,49,83
Psychedelic Purple,#df00ff,223,0,255
Puce,#cc8899,204,136,153
Puce Red,#722f37,114,47,55
Pullman Brown (Ups Brown),#644117,100,65,23
Pullman Green,#3b331c,59,51,28
Pumpkin,#ff7518,255,117,24
Purple (Html/Css),#800080,128,0,128
Purple (Munsell),#9f00c5,159,0,197
Purple (X11),#a020f0,160,32,240
Purple Heart,#69359c,105,53,156
Purple Mountain Majesty,#9678b6,150,120,182
Purple Navy,#4e5180,78,81,128
Purple Pizzazz,#fe4eda,254,78,218
Purple Taupe,#50404d,80,64,77
Purpureus,#9a4eae,154,78,174
Quartz,#51484f,81,72,79
Queen Blue,#436b95,67,107,149
Queen Pink,#e8ccd7,232,204,215
Quinacridone Magenta,#8e3a59,142,58,89
Rackley,#5d8aa8,93,138,168
Radical Red,#ff355e,255,53,94
Rajah,#fbab60,251,171,96
Raspberry,#e30b5d,227,11,93
Raspberry Glace,#915f6d,145,95,109
Raspberry Pink,#e25098,226,80,152
Raspberry Rose,#b3446c,179,68,108
Raw Sienna,#d68a59,214,138,89
Raw Umber,#826644,130,102,68
Razzle Dazzle Rose,#ff33cc,255,51,204
Razzmatazz,#e3256b,227,37,107
Razzmic Berry,#8d4e85,141,78,133
Rebecca Purple,#663399,102,51,153
Red,#ff0000,255,0,0
Red (Crayola),#ee204d,238,32,77
Red (Munsell),#f2003c,242,0,60
Red (Ncs),#c40233,196,2,51
Red (Pantone),#ed2939,237,41,57
Red (Pigment),#ed1c24,237,28,36
Red (Ryb),#fe2712,254,39,18
Red-Brown,#a52a2a,165,42,42
Red Devil,#860111,134,1,17
Red-Orange,#ff5349,255,83,73
Red-Purple,#e40078,228,0,120
Red-Violet,#c71585,199,21,133
Redwood,#a45a52,164,90,82
Regalia,#522d80,82,45,128
Registration Black,#000000,0,0,0
Resolution Blue,#002387,0,35,135
Rhythm,#777696,119,118,150
Rich Black,#004040,0,64,64
Rich Black (Fogra29),#010b13,1,11,19
Rich Black (Fogra39),#010203,1,2,3
Rich Brilliant Lavender,#f1a7fe,241,167,254
Rich Carmine,#d70040,215,0,64
Rich Electric Blue,#0892d0,8,146,208
Rich Lavender,#a76bcf,167,107,207
Rich Lilac,#b666d2,182,102,210
Rich Maroon,#b03060,176,48,96
Rifle Green,#444c38,68,76,56
Roast Coffee,#704241,112,66,65
Robin Egg Blue,#00cccc,0,204,204
Rocket Metallic,#8a7f80,138,127,128
Roman Silver,#838996,131,137,150
Rose,#ff007f,255,0,127
Rose Bonbon,#f9429e,249,66,158
Rose Ebony,#674846,103,72,70
Rose Gold,#b76e79,183,110,121
Rose Madder,#e32636,227,38,54
Rose Pink,#ff66cc,255,102,204
Rose Quartz,#aa98a9,170,152,169
Rose Red,#c21e56,194,30,86
Rose Taupe,#905d5d,144,93,93
Rose Vale,#ab4e52,171,78,82
Rosewood,#65000b,101,0,11
Rosso Corsa,#d40000,212,0,0
Rosy Brown,#bc8f8f,188,143,143
Royal Azure,#0038a8,0,56,168
Royal Blue,#002366,0,35,102
Royal Blue #2,#4169e1,65,105,225
Royal Fuchsia,#ca2c92,202,44,146
Royal Purple,#7851a9,120,81,169
Royal Yellow,#fada5e,250,218,94
Ruber,#ce4676,206,70,118
Rubine Red,#d10056,209,0,86
Ruby,#e0115f,224,17,95
Ruby Red,#9b111e,155,17,30
Ruddy,#ff0028,255,0,40
Ruddy Brown,#bb6528,187,101,40
Ruddy Pink,#e18e96,225,142,150
Rufous,#a81c07,168,28,7
Russet,#80461b,128,70,27
Russian Green,#679267,103,146,103
Russian Violet,#32174d,50,23,77
Rust,#b7410e,183,65,14
Rusty Red,#da2c43,218,44,67
Sacramento State Green,#00563f,0,86,63
Saddle Brown,#8b4513,139,69,19
Safety Orange,#ff7800,255,120,0
Safety Orange (Blaze Orange),#ff6700,255,103,0
Safety Yellow,#eed202,238,210,2
Saffron,#f4c430,244,196,48
Sage,#bcb88a,188,184,138
St. Patrick'S Blue,#23297a,23,41,122
Salmon,#fa8072,250,128,114
Salmon Pink,#ff91a4,255,145,164
Sand,#c2b280,194,178,128
Sand Dune,#967117,150,113,23
Sandstorm,#ecd540,236,213,64
Sandy Brown,#f4a460,244,164,96
Sandy Taupe,#967117,150,113,23
Sangria,#92000a,146,0,10
Sap Green,#507d2a,80,125,42
Sapphire,#0f52ba,15,82,186
Sapphire Blue,#0067a5,0,103,165
Satin Sheen Gold,#cba135,203,161,53
Scarlet,#ff2400,255,36,0
Scarlet #2,#fd0e35,253,14,53
Schauss Pink,#ff91af,255,145,175
School Bus Yellow,#ffd800,255,216,0
Screamin' Green,#76ff7a,118,255,122
Sea Blue,#006994,0,105,148
Sea Green,#2e8b57,46,139,87
Seal Brown,#59260b,89,38,11
Seashell,#fff5ee,255,245,238
Selective Yellow,#ffba00,255,186,0
Sepia,#704214,112,66,20
Shadow,#8a795d,138,121,93
Shadow Blue,#778ba5,119,139,165
Shampoo,#ffcff1,255,207,241
Shamrock Green,#009e60,0,158,96
Sheen Green,#8fd400,143,212,0
Shimmering Blush,#d98695,217,134,149
Shocking Pink,#fc0fc0,252,15,192
Shocking Pink (Crayola),#ff6fff,255,111,255
Sienna,#882d17,136,45,23
Silver,#c0c0c0,192,192,192
Silver Chalice,#acacac,172,172,172
Silver Lake Blue,#5d89ba,93,137,186
Silver Pink,#c4aead,196,174,173
Silver Sand,#bfc1c2,191,193,194
Sinopia,#cb410b,203,65,11
Skobeloff,#007474,0,116,116
Sky Blue,#87ceeb,135,206,235
Sky Magenta,#cf71af,207,113,175
Slate Blue,#6a5acd,106,90,205
Slate Gray,#708090,112,128,144
Smalt (Dark Powder Blue),#003399,0,51,153
Smitten,#c84186,200,65,134
Smoke,#738276,115,130,118
Smoky Black,#100c08,16,12,8
Snow,#fffafa,255,250,250
Soap,#cec8ef,206,200,239
Solid Pink,#893843,137,56,67
Sonic Silver,#757575,117,117,117
Spartan Crimson,#9e1316,158,19,22
Space Cadet,#1d2951,29,41,81
Spanish Bistre,#807532,128,117,50
Spanish Blue,#0070b8,0,112,184
Spanish Carmine,#d10047,209,0,71
Spanish Crimson,#e51a4c,229,26,76
Spanish Gray,#989898,152,152,152
Spanish Green,#009150,0,145,80
Spanish Orange,#e86100,232,97,0
Spanish Pink,#f7bfbe,247,191,190
Spanish Red,#e60026,230,0,38
Spanish Sky Blue,#00ffff,0,255,255
Spanish Violet,#4c2882,76,40,130
Spanish Viridian,#007f5c,0,127,92
Spicy Mix,#8b5f4d,139,95,77
Spiro Disco Ball,#0fc0fc,15,192,252
Spring Bud,#a7fc00,167,252,0
Spring Green,#00ff7f,0,255,127
Star Command Blue,#007bb8,0,123,184
Steel Blue,#4682b4,70,130,180
Steel Pink,#cc33cc,204,51,204
Stil De Grain Yellow,#fada5e,250,218,94
Stizza,#990000,153,0,0
Stormcloud,#4f666a,79,102,106
Straw,#e4d96f,228,217,111
Strawberry,#fc5a8d,252,90,141
Sunglow,#ffcc33,255,204,51
Sunray,#e3ab57,227,171,87
Sunset,#fad6a5,250,214,165
Sunset Orange,#fd5e53,253,94,83
Super Pink,#cf6ba9,207,107,169
Tan,#d2b48c,210,180,140
Tangelo,#f94d00,249,77,0
Tangerine,#f28500,242,133,0
Tangerine Yellow,#ffcc00,255,204,0
Tango Pink,#e4717a,228,113,122
Taupe,#483c32,72,60,50
Taupe Gray,#8b8589,139,133,137
Tea Green,#d0f0c0,208,240,192
Tea Rose (Orange),#f88379,248,131,121
Tea Rose (Rose),#f4c2c2,244,194,194
Teal,#008080,0,128,128
Teal Blue,#367588,54,117,136
Teal Deer,#99e6b3,153,230,179
Teal Green,#00827f,0,130,127
Telemagenta,#cf3476,207,52,118
Tenné (Tawny),#cd5700,205,87,0
Terra Cotta,#e2725b,226,114,91
Thistle,#d8bfd8,216,191,216
Thulian Pink,#de6fa1,222,111,161
Tickle Me Pink,#fc89ac,252,137,172
Tiffany Blue,#0abab5,10,186,181
Tiger'S Eye,#e08d3c,224,141,60
Timberwolf,#dbd7d2,219,215,210
Titanium Yellow,#eee600,238,230,0
Tomato,#ff6347,255,99,71
Toolbox,#746cc0,116,108,192
Topaz,#ffc87c,255,200,124
Tractor Red,#fd0e35,253,14,53
Trolley Grey,#808080,128,128,128
Tropical Rain Forest,#00755e,0,117,94
True Blue,#0073cf,0,115,207
Tufts Blue,#417dc1,65,125,193
Tulip,#ff878d,255,135,141
Tumbleweed,#deaa88,222,170,136
Turkish Rose,#b57281,181,114,129
Turquoise,#40e0d0,64,224,208
Turquoise Blue,#00ffef,0,255,239
Turquoise Green,#a0d6b4,160,214,180
Tuscan,#fad6a5,250,214,165
Tuscan Brown,#6f4e37,111,78,55
Tuscan Red,#7c4848,124,72,72
Tuscan Tan,#a67b5b,166,123,91
Tuscany,#c09999,192,153,153
Twilight Lavender,#8a496b,138,73,107
Tyrian Purple,#66023c,66,2,60
Ua Blue,#0033aa,0,51,170
Ua Red,#d9004c,217,0,76
Ube,#8878c3,136,120,195
Ucla Blue,#536895,83,104,149
Ucla Gold,#ffb300,255,179,0
Ufo Green,#3cd070,60,208,112
Ultramarine,#3f00ff,63,0,255
Ultramarine Blue,#4166f5,65,102,245
Ultra Pink,#ff6fff,255,111,255
Ultra Red,#fc6c85,252,108,133
Umber,#635147,99,81,71
Unbleached Silk,#ffddca,255,221,202
United Nations Blue,#5b92e5,91,146,229
University Of California Gold,#b78727,183,135,39
Unmellow Yellow,#ffff66,255,255,102
Up Forest Green,#014421,1,68,33
Up Maroon,#7b1113,123,17,19
Upsdell Red,#ae2029,174,32,41
Urobilin,#e1ad21,225,173,33
Usafa Blue,#004f98,0,79,152
Usc Cardinal,#990000,153,0,0
Usc Gold,#ffcc00,255,204,0
University Of Tennessee Orange,#f77f00,247,127,0
Utah Crimson,#d3003f,211,0,63
Vanilla,#f3e5ab,243,229,171
Vanilla Ice,#f38fa9,243,143,169
Vegas Gold,#c5b358,197,179,88
Venetian Red,#c80815,200,8,21
Verdigris,#43b3ae,67,179,174
Veronica,#a020f0,160,32,240
Violet,#8f00ff,143,0,255
Violet (Color Wheel),#7f00ff,127,0,255
Violet (Ryb),#8601af,134,1,175
Violet (Web),#ee82ee,238,130,238
Violet-Blue,#324ab2,50,74,178
Violet-Red,#f75394,247,83,148
Viridian,#40826d,64,130,109
Viridian Green,#009698,0,150,152
Vista Blue,#7c9ed9,124,158,217
Vivid Amber,#cc9900,204,153,0
Vivid Auburn,#922724,146,39,36
Vivid Burgundy,#9f1d35,159,29,53
Vivid Cerise,#da1d81,218,29,129
Vivid Cerulean,#00aaee,0,170,238
Vivid Crimson,#cc0033,204,0,51
Vivid Gamboge,#ff9900,255,153,0
Vivid Lime Green,#a6d608,166,214,8
Vivid Malachite,#00cc33,0,204,51
Vivid Mulberry,#b80ce3,184,12,227
Vivid Orange,#ff5f00,255,95,0
Vivid Orange Peel,#ffa000,255,160,0
Vivid Orchid,#cc00ff,204,0,255
Vivid Raspberry,#ff006c,255,0,108
Vivid Red,#f70d1a,247,13,26
Vivid Red-Tangelo,#df6124,223,97,36
Vivid Sky Blue,#00ccff,0,204,255
Vivid Tangelo,#f07427,240,116,39
Vivid Tangerine,#ffa089,255,160,137
Vivid Vermilion,#e56024,229,96,36
Vivid Violet,#9f00ff,159,0,255
Vivid Yellow,#ffe302,255,227,2
Warm Black,#004242,0,66,66
Waterspout,#a4f4f9,164,244,249
Wenge,#645452,100,84,82
Wheat,#f5deb3,245,222,179
White,#ffffff,255,255,255
White Smoke,#f5f5f5,245,245,245
Wild Blue Yonder,#a2add0,162,173,208
Wild Orchid,#d470a2,212,112,162
Wild Strawberry,#ff43a4,255,67,164
Wild Watermelon,#fc6c85,252,108,133
Willpower Orange,#fd5800,253,88,0
Windsor Tan,#a75502,167,85,2
Wine,#722f37,114,47,55
Wine Dregs,#673147,103,49,71
Wisteria,#c9a0dc,201,160,220
Wood Brown,#c19a6b,193,154,107
Xanadu,#738678,115,134,120
Yale Blue,#0f4d92,15,77,146
Yankees Blue,#1c2841,28,40,65
Yellow,#ffff00,255,255,0
Yellow (Crayola),#fce883,252,232,131
Yellow (Munsell),#efcc00,239,204,0
Yellow (Ncs),#ffd300,255,211,0
Yellow (Pantone),#fedf00,254,223,0
Yellow (Process),#ffef00,255,239,0
Yellow (Ryb),#fefe33,254,254,51
Yellow-Green,#9acd32,154,205,50
Yellow Orange,#ffae42,255,174,66
Yellow Rose,#fff000,255,240,0
Zaffre,#0014a8,0,20,168
Zinnwaldite Brown,#2c1608,44,22,8
Zomp,#39a78e,57,167,142

